0.000000000000000000e+00 2.529444945045153381e-01 1.018746820558809503e-02 1.581112261500635871e-02 -2.125750490347281738e-02 -5.425601636196449203e-03 -2.345264471568645522e-04 1.068473375367655917e-03 8.128054273428230152e-04 -1.955786617587912824e-03
1.000000000000000056e-01 -1.143141834399714896e-01 -2.219196825954287966e-02 -2.104404727930781621e-02 -1.393212800622641370e-02 -9.289859052346263746e-03 -1.034076181829273952e-02 -1.095274579634878710e-02 -8.611303195349600051e-03 -1.016131183252555123e-02
2.000000000000000111e-01 -3.728979530293383138e-02 -2.609933700874624701e-02 -1.080803413211201165e-02 -8.450095516423134639e-03 -2.001105302089190019e-02 -1.487361253839792480e-02 -1.773810931112520389e-02 -1.480211586323128443e-02 -1.649833048360136237e-02
3.000000000000000444e-01 7.405948125231590073e-02 -3.740987853206145797e-02 -6.549586784180189136e-02 -6.580274968855454737e-03 -5.729315271106318400e-03 -1.833191146385024922e-02 -2.713439411695325529e-02 -2.202404275733201369e-02 -1.937503020919367075e-02
4.000000000000000222e-01 -1.285081839919401808e-03 4.321850448659386029e-03 -4.470075057346997727e-02 -3.774841831672183512e-02 -2.611788066885544976e-02 -2.385324158710694711e-02 -2.263546281368042715e-02 -2.368730657785168142e-02 -2.219680520464402049e-02
5.000000000000000000e-01 -1.236198830792732406e-01 -1.276535406326717026e-01 -6.198256138481929994e-03 -1.500210775770139532e-02 -1.341799328567526602e-02 -2.594270786507971854e-02 -2.042326674230354050e-02 -1.774081375861643814e-02 -2.089744499322520460e-02
6.000000000000000888e-01 -7.259039797819620554e-02 -3.997256792453512952e-02 -1.089348949407962022e-02 -2.004980584250079870e-02 -2.433496957318631582e-02 -2.440405181410829072e-02 -2.141200963265976753e-02 -1.644438399348838870e-02 -1.655435593982475598e-02
7.000000000000000666e-01 6.147048717545762486e-02 -6.001635375633294911e-02 -1.144342306086461661e-02 -4.598752785684006791e-03 -3.069364411646788998e-02 -8.294319334536719157e-03 -1.467985614634367136e-02 -1.135987027189300919e-02 -1.428850070892157334e-02
8.000000000000000444e-01 1.479536453613802816e-01 1.385689672312157353e-02 1.600214570720119578e-02 -4.352033523258865867e-03 -3.542829874583382221e-04 -9.463201568678534029e-03 -5.728221444087655892e-03 -5.625773327278833953e-03 -3.654709656780410348e-03
9.000000000000000222e-01 7.728944917386983138e-02 3.309399216962730528e-03 -4.028888594719867711e-02 -4.273295850441657939e-03 -1.218646303883646857e-03 1.234310188736598320e-02 1.482767497821448413e-03 3.655762446474576828e-03 3.306702554108615234e-03
